trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
90,False,"{'a': 0.5, 'e': 0.9510565162951535}",25,0,-89.07828519477557,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.9499720515246525}",20,0,-163.34342996806436,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
92,False,"{'a': 0.5, 'e': 0.9488760116444965}",25,0,-102.50605214022173,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
93,False,"{'a': 0.5, 'e': 0.9477684100095857}",25,8,-63.863035021957444,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.9466492601156964}",20,0,-101.27337602160878,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.9455185755993168}",30,0,-189.261436637202,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
96,False,"{'a': 0.5, 'e': 0.944376370237481}",25,11,-54.257965804288375,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.943222657947601}",20,0,-108.61017854598457,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.9420574527872967}",25,0,-49.07566228182768,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.9408807689542255}",20,0,-95.70809821308642,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
100,False,"{'a': 0.5, 'e': 0.9396926207859084}",20,0,-116.80089483130382,"{0: 10, 1: 6, 2: 2, 3: 0, 4: 2}",0
101,False,"{'a': 0.5, 'e': 0.9384930227595559}",20,0,-117.40852968707703,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.9372819894918915}",30,14,-88.84157447938263,"{0: 8, 1: 2, 2: 5, 3: 0, 4: 1}",1
103,False,"{'a': 0.5, 'e': 0.9360595357389733}",30,0,-113.24652411926081,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.9348256763960144}",25,6,-23.354869241757463,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.9335804264972017}",20,0,-112.95646017606711,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
106,False,"{'a': 0.5, 'e': 0.9323238012155122}",20,0,2.756586014235051,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.9310558158625283}",20,0,-142.06804115136785,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
108,False,"{'a': 0.5, 'e': 0.9297764858882513}",20,0,-138.19377692886587,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
109,False,"{'a': 0.5, 'e': 0.9284858268809135}",30,0,-256.26971901343296,"{0: 14, 1: 4, 2: 7, 3: 1, 4: 4}",0
110,False,"{'a': 0.5, 'e': 0.9271838545667874}",20,0,-107.03340533481204,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.9258705848099947}",20,0,-196.25977856243622,"{0: 9, 1: 0, 2: 7, 3: 1, 4: 3}",0
112,False,"{'a': 0.5, 'e': 0.9245460336123131}",20,0,-104.57912097755957,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.9232102171129809}",20,12,0.7572861978096115,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.9218631515885005}",25,0,-99.40581221029733,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.9205048534524404}",25,0,-130.70968484054399,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
116,False,"{'a': 0.5, 'e': 0.9191353392552344}",20,0,-17.93343106640907,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.9177546256839811}",20,0,-153.03531281511607,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
118,False,"{'a': 0.5, 'e': 0.9163627295622396}",20,0,-62.076508344007635,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.9149596678498247}",20,0,-100.71398123024457,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
120,False,"{'a': 0.5, 'e': 0.9135454576426009}",20,0,-37.331462157518075,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.912120116172273}",20,13,-6.121732624787464,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.9106836608061771}",20,0,-63.250559193666646,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.9092361090470685}",25,0,-220.37119359238818,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 4}",0
124,False,"{'a': 0.5, 'e': 0.9077774785329087}",20,0,-29.529796019945998,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
125,False,"{'a': 0.5, 'e': 0.9063077870366499}",20,0,-70.82997944481112,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
126,False,"{'a': 0.5, 'e': 0.9048270524660195}",30,0,-32.3455809452497,"{0: 22, 1: 4, 2: 4, 3: 0, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.9033352928633007}",20,0,-102.06442680241761,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
128,False,"{'a': 0.5, 'e': 0.9018325264051138}",25,0,-57.86913211542085,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
129,False,"{'a': 0.5, 'e': 0.9003187714021935}",20,0,-87.87120426379056,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
130,False,"{'a': 0.5, 'e': 0.898794046299167}",20,7,-120.30811305003446,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 3}",1
131,False,"{'a': 0.5, 'e': 0.8972583696743284}",25,0,-113.63063816638986,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.8957117602394129}",20,0,-37.143043608565065,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.8941542368393681}",20,0,-62.812093023993604,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.8925858184521255}",25,8,-5.819844715483788,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.8910065241883679}",25,15,-28.59126266687365,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.8894163732912975}",35,0,-177.41574668693937,"{0: 21, 1: 5, 2: 6, 3: 0, 4: 3}",0
137,False,"{'a': 0.5, 'e': 0.8878153851364013}",30,16,-8.621730402579049,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.8862035792312147}",20,6,-43.11078615750235,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
139,False,"{'a': 0.5, 'e': 0.8845809752150839}",30,0,-170.5455933107218,"{0: 15, 1: 5, 2: 8, 3: 0, 4: 2}",0
