trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
229,False,"{'a': 0.5, 'e': 0.6971651028545645}",20,5,-54.2550009008054,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
230,False,"{'a': 0.5, 'e': 0.6946583704589974}",25,0,-106.07346439784314,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
231,False,"{'a': 0.5, 'e': 0.6921431738704068}",20,10,-17.565656943411312,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
232,False,"{'a': 0.5, 'e': 0.6896195437356697}",25,0,-31.318749159487997,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
233,False,"{'a': 0.5, 'e': 0.687087510804423}",30,5,-55.20970795136337,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",1
234,False,"{'a': 0.5, 'e': 0.6845471059286887}",20,0,-69.61662413764213,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
235,False,"{'a': 0.5, 'e': 0.6819983600624985}",20,0,-158.84170909265652,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
236,False,"{'a': 0.5, 'e': 0.6794413042615166}",20,0,-36.083209967076485,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
237,False,"{'a': 0.5, 'e': 0.6768759696826607}",20,11,-8.530286333632844,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
238,False,"{'a': 0.5, 'e': 0.6743023875837234}",20,0,-48.3563161810411,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
239,False,"{'a': 0.5, 'e': 0.6717205893229903}",30,9,-38.57539064036818,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 1}",1
240,False,"{'a': 0.5, 'e': 0.6691306063588582}",20,0,-14.261391883976644,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
241,False,"{'a': 0.5, 'e': 0.6665324702494525}",25,0,-122.62665572046144,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
242,False,"{'a': 0.5, 'e': 0.6639262126522416}",25,11,-107.12611310367986,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 2}",1
243,False,"{'a': 0.5, 'e': 0.6613118653236518}",25,0,-13.905145167576785,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
244,False,"{'a': 0.5, 'e': 0.6586894601186805}",20,0,-35.75961727421962,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
245,False,"{'a': 0.5, 'e': 0.6560590289905074}",20,6,-44.01920260300609,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
246,False,"{'a': 0.5, 'e': 0.6534206039901054}",20,3,-73.2284440764778,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 1}",1
247,False,"{'a': 0.5, 'e': 0.6507742172658509}",25,15,-44.921304732516084,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
248,False,"{'a': 0.5, 'e': 0.648119901063131}",20,0,-23.534219182423136,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
249,False,"{'a': 0.5, 'e': 0.6454576877239505}",20,0,-57.70579102013697,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
250,False,"{'a': 0.5, 'e': 0.6427876096865394}",25,13,-14.16579491506642,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
251,False,"{'a': 0.5, 'e': 0.6401096994849556}",25,18,14.231498269135955,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.5, 'e': 0.6374239897486896}",20,6,4.84303630603647,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
253,False,"{'a': 0.5, 'e': 0.6347305132022677}",25,12,15.000703047933284,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.5, 'e': 0.6320293026648508}",35,21,6.78607944094588,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
255,False,"{'a': 0.5, 'e': 0.6293203910498375}",35,0,-35.75535430107326,"{0: 29, 1: 3, 2: 2, 3: 0, 4: 1}",0
256,False,"{'a': 0.5, 'e': 0.6266038113644605}",30,5,-26.85760752256932,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",1
257,False,"{'a': 0.5, 'e': 0.6238795967093861}",30,0,-70.27381732979771,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
258,False,"{'a': 0.5, 'e': 0.6211477802783104}",20,0,-138.35465913272546,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
259,False,"{'a': 0.5, 'e': 0.6184083953575542}",20,0,-76.07620284268154,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",1
260,False,"{'a': 0.5, 'e': 0.6156614753256583}",20,11,16.11700617554713,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.5, 'e': 0.6129070536529765}",25,14,-4.326860234365244,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
262,False,"{'a': 0.5, 'e': 0.6101451639012676}",20,0,-129.64534239316419,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
263,False,"{'a': 0.5, 'e': 0.6073758397232867}",25,4,-1.6408079574885477,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 0}",1
264,False,"{'a': 0.5, 'e': 0.6045991148623748}",25,0,-102.28843400282155,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
265,False,"{'a': 0.5, 'e': 0.6018150231520484}",25,0,-58.92239393784806,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
266,False,"{'a': 0.5, 'e': 0.5990235985155858}",20,2,-32.53324773500606,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 0}",1
267,False,"{'a': 0.5, 'e': 0.5962248749656158}",30,0,-68.30173796593118,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
268,False,"{'a': 0.5, 'e': 0.5934188866037015}",25,8,-130.90598531096316,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 3}",1
269,False,"{'a': 0.5, 'e': 0.5906056676199254}",25,2,-93.68340555722426,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 1}",1
270,False,"{'a': 0.5, 'e': 0.5877852522924732}",20,0,-87.21933621180428,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
271,False,"{'a': 0.5, 'e': 0.5849576749872154}",20,12,-18.00533665546831,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
272,False,"{'a': 0.5, 'e': 0.5821229701572894}",20,12,7.036331004275869,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.5, 'e': 0.579281172342679}",30,0,-110.55997717525835,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
274,False,"{'a': 0.5, 'e': 0.5764323161697932}",25,3,-100.82919396542712,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 2}",1
275,False,"{'a': 0.5, 'e': 0.5735764363510462}",30,3,-52.998785756757286,"{0: 20, 1: 0, 2: 6, 3: 1, 4: 0}",1
276,False,"{'a': 0.5, 'e': 0.5707135676844317}",25,0,-79.76218767908414,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
277,False,"{'a': 0.5, 'e': 0.5678437450531012}",20,0,-33.12465363560475,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
278,False,"{'a': 0.5, 'e': 0.564967003424938}",25,13,19.703755256658546,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.5, 'e': 0.5620833778521306}",20,0,-96.41528655289457,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
280,False,"{'a': 0.5, 'e': 0.5591929034707469}",20,0,-1.6141961509077627,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
281,False,"{'a': 0.5, 'e': 0.5562956155003048}",20,3,-55.75481792536169,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
282,False,"{'a': 0.5, 'e': 0.553391549243344}",25,3,-5.46878892628402,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 0}",1
283,False,"{'a': 0.5, 'e': 0.5504807400849956}",25,0,-72.79467218653033,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
284,False,"{'a': 0.5, 'e': 0.5475632234925503}",20,10,-4.48392930426062,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
285,False,"{'a': 0.5, 'e': 0.5446390350150271}",25,8,-44.05855247329541,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
286,False,"{'a': 0.5, 'e': 0.5417082102827399}",20,4,-23.864642425284,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
287,False,"{'a': 0.5, 'e': 0.538770785006863}",25,7,-39.49632312377778,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 1}",1
288,False,"{'a': 0.5, 'e': 0.5358267949789967}",20,9,7.033892799862548,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
289,False,"{'a': 0.5, 'e': 0.53287627607073}",25,14,-4.730069121256671,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
290,False,"{'a': 0.5, 'e': 0.5299192642332049}",20,0,6.470071359523906,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
291,False,"{'a': 0.5, 'e': 0.5269557954966776}",25,11,-22.75822748599946,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
292,False,"{'a': 0.5, 'e': 0.5239859059700791}",20,0,6.375979503641755,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
293,False,"{'a': 0.5, 'e': 0.5210096318405764}",20,9,-26.085680089812286,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
294,False,"{'a': 0.5, 'e': 0.5180270093731302}",20,13,2.5763063851460757,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
295,False,"{'a': 0.5, 'e': 0.5150380749100542}",20,8,-11.121983347026994,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
296,False,"{'a': 0.5, 'e': 0.5120428648705715}",30,13,-20.189889191906254,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
297,False,"{'a': 0.5, 'e': 0.5090414157503713}",20,9,-23.51801989511343,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
298,False,"{'a': 0.5, 'e': 0.5060337641211637}",25,10,-15.836836275315132,"{0: 9, 1: 5, 2: 1, 3: 0, 4: 0}",1
299,False,"{'a': 0.5, 'e': 0.503019946630235}",20,16,8.143996385312196,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.5, 'e': 0.5000000000000001}",30,3,-25.67805960642655,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 0}",1
301,False,"{'a': 0.5, 'e': 0.4969739610275553}",20,11,-30.73669586635005,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
302,False,"{'a': 0.5, 'e': 0.4939418665842309}",20,11,0.06430756363166545,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
303,False,"{'a': 0.5, 'e': 0.490903753615141}",20,0,8.535982210825036,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
304,False,"{'a': 0.5, 'e': 0.48785965913873264}",25,7,24.00513267923902,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.5, 'e': 0.48480962024633717}",25,4,-30.061016124133392,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 0}",1
306,False,"{'a': 0.5, 'e': 0.4817536741017152}",30,23,5.3228358927800326,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.5, 'e': 0.47869185794060665}",20,14,10.675929325060265,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.5, 'e': 0.4756242090702753}",25,0,-42.17999271069316,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
309,False,"{'a': 0.5, 'e': 0.47255076486905384}",20,7,10.551825472859548,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.5, 'e': 0.46947156278589086}",30,12,16.935556540175774,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.5, 'e': 0.46638664033989125}",25,16,-39.1042055397617,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 1}",1
312,False,"{'a': 0.5, 'e': 0.46329603511986156}",20,11,1.6944235374986176,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
313,False,"{'a': 0.5, 'e': 0.4601997847838517}",20,0,-83.85685636036322,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
314,False,"{'a': 0.5, 'e': 0.45709792705869423}",35,24,-40.986882048634456,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
315,False,"{'a': 0.5, 'e': 0.4539904997395468}",20,14,1.0763647605841298,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
316,False,"{'a': 0.5, 'e': 0.4508775406894308}",25,11,-27.241509110749785,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 1}",1
317,False,"{'a': 0.5, 'e': 0.44775908783876955}",30,18,15.741097635517319,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.5, 'e': 0.4446351791849275}",20,10,-8.227755034138092,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
319,False,"{'a': 0.5, 'e': 0.4415058527917452}",20,9,1.1860526548156773,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
320,False,"{'a': 0.5, 'e': 0.4383711467890774}",20,0,8.614559475192072,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
321,False,"{'a': 0.5, 'e': 0.4352310993723275}",25,7,-78.57899592920626,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1
322,False,"{'a': 0.5, 'e': 0.4320857488019823}",20,0,-28.92623677504376,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
323,False,"{'a': 0.5, 'e': 0.4289351334031457}",25,17,14.142947185027854,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.5, 'e': 0.42577929156507266}",35,12,-38.915884770033706,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 1}",1
325,False,"{'a': 0.5, 'e': 0.42261826174069944}",25,2,-2.6697489682197393,"{0: 17, 1: 6, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.5, 'e': 0.4194520824461771}",20,3,-75.44090578565118,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 2}",1
327,False,"{'a': 0.5, 'e': 0.41628079226040116}",25,7,-60.922476985288185,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
328,False,"{'a': 0.5, 'e': 0.41310442982454176}",25,1,-76.64845433624089,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 1}",1
329,False,"{'a': 0.5, 'e': 0.40992303384157275}",30,20,16.0975410988519,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.5, 'e': 0.40673664307580015}",25,12,-0.9473327838790042,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
331,False,"{'a': 0.5, 'e': 0.40354529635239}",20,0,23.18658774168173,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
332,False,"{'a': 0.5, 'e': 0.4003490325568949}",25,18,5.403153382006055,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.5, 'e': 0.39714789063478056}",20,10,9.129193135441675,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
334,False,"{'a': 0.5, 'e': 0.39394190959095127}",30,18,6.3395461905646275,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.5, 'e': 0.3907311284892737}",20,9,16.978540411573658,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.5, 'e': 0.38751558645210293}",20,0,-28.756658160815114,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
337,False,"{'a': 0.5, 'e': 0.38429532265980365}",25,8,16.37557683187246,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
338,False,"{'a': 0.5, 'e': 0.381070376350274}",20,10,18.407588482176042,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.5, 'e': 0.3778407868184672}",20,6,4.541791412783702,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
340,False,"{'a': 0.5, 'e': 0.37460659341591196}",20,0,5.904563043507362,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
341,False,"{'a': 0.5, 'e': 0.3713678355502347}",25,0,-79.20121552195434,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
342,False,"{'a': 0.5, 'e': 0.36812455268467786}",20,13,-18.389667565528693,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
343,False,"{'a': 0.5, 'e': 0.36487678433761955}",25,15,19.464590714998113,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.5, 'e': 0.3616245700820924}",20,11,3.334725561450756,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.5, 'e': 0.3583679495453004}",30,16,-52.140074639896326,"{0: 10, 1: 0, 2: 1, 3: 3, 4: 0}",1
346,False,"{'a': 0.5, 'e': 0.35510696240813694}",25,5,-45.31191606034448,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",1
347,False,"{'a': 0.5, 'e': 0.3518416484047017}",25,0,-23.045106664437228,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
348,False,"{'a': 0.5, 'e': 0.3485720473218151}",25,9,20.18273891036324,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
349,False,"{'a': 0.5, 'e': 0.34529819899853476}",25,0,-9.22331094204879,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
350,False,"{'a': 0.5, 'e': 0.3420201433256688}",20,8,17.37796817698085,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.5, 'e': 0.33873792024529126}",20,0,28.798460880982656,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
352,False,"{'a': 0.5, 'e': 0.33545156975025486}",30,20,22.29174568313166,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.5, 'e': 0.33216113188370316}",30,0,10.330548492945026,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
354,False,"{'a': 0.5, 'e': 0.3288666467385833}",35,0,-38.80775407099423,"{0: 26, 1: 3, 2: 6, 3: 0, 4: 0}",0
355,False,"{'a': 0.5, 'e': 0.32556815445715676}",30,16,24.399171626054628,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.5, 'e': 0.32226569523051113}",20,1,-13.435109241635345,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
357,False,"{'a': 0.5, 'e': 0.3189593092980698}",20,0,18.4526377833701,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
358,False,"{'a': 0.5, 'e': 0.3156490369471023}",20,5,4.66830687957394,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
359,False,"{'a': 0.5, 'e': 0.3123349185122326}",20,6,-92.07589738832934,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 2}",1
360,False,"{'a': 0.5, 'e': 0.30901699437494745}",30,7,-43.68839613766229,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 2}",1
361,False,"{'a': 0.5, 'e': 0.3056953049631057}",20,10,-7.224443147517774,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
362,False,"{'a': 0.5, 'e': 0.30236989075044435}",35,25,-1.92364681329495,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
363,False,"{'a': 0.5, 'e': 0.2990407922560865}",25,16,17.523667207860008,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.5, 'e': 0.2957080500440467}",20,4,-19.876496101615224,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
365,False,"{'a': 0.5, 'e': 0.29237170472273677}",25,15,-44.46240826898013,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
366,False,"{'a': 0.5, 'e': 0.2890317969444716}",25,4,4.8846849679847235,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
367,False,"{'a': 0.5, 'e': 0.28568836740497355}",20,8,10.720281066511042,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
368,False,"{'a': 0.5, 'e': 0.28234145684287626}",20,11,-25.757882624901576,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
369,False,"{'a': 0.5, 'e': 0.2789911060392293}",20,0,7.4669015067150735,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
370,False,"{'a': 0.5, 'e': 0.27563735581699916}",20,7,17.777482912223302,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
371,False,"{'a': 0.5, 'e': 0.27228024704057435}",20,3,27.18983807588527,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
372,False,"{'a': 0.5, 'e': 0.2689198206152657}",25,15,18.727534910042703,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
373,False,"{'a': 0.5, 'e': 0.2655561174868086}",30,20,15.61434828289422,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 0.5, 'e': 0.2621891786408647}",20,6,-60.25976665127035,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
375,False,"{'a': 0.5, 'e': 0.25881904510252074}",25,18,9.518192738840563,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
376,False,"{'a': 0.5, 'e': 0.2554457579357905}",25,13,24.919399685505134,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.5, 'e': 0.2520693582431136}",25,13,23.832554108916824,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
378,False,"{'a': 0.5, 'e': 0.24868988716485474}",20,7,22.591984614151436,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.5, 'e': 0.24530738587880274}",20,15,0.4796307762774701,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
380,False,"{'a': 0.5, 'e': 0.24192189559966767}",20,13,13.911661531429814,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
381,False,"{'a': 0.5, 'e': 0.23853345757858083}",20,0,7.155016955945643,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
382,False,"{'a': 0.5, 'e': 0.23514211310258995}",25,8,-1.0530942514002857,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 0}",1
383,False,"{'a': 0.5, 'e': 0.23174790349415728}",20,11,-5.99105235124953,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
384,False,"{'a': 0.5, 'e': 0.22835087011065566}",20,13,-2.5133561635237704,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
385,False,"{'a': 0.5, 'e': 0.22495105434386492}",20,6,25.717173062403656,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
386,False,"{'a': 0.5, 'e': 0.2215484976194672}",30,20,17.555476873813433,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
387,False,"{'a': 0.5, 'e': 0.21814324139654248}",20,13,-30.651874709438484,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
388,False,"{'a': 0.5, 'e': 0.21473532716706312}",25,13,-9.117858885577757,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
389,False,"{'a': 0.5, 'e': 0.21132479645538857}",25,12,12.028355885913893,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
390,False,"{'a': 0.5, 'e': 0.20791169081775945}",25,17,9.86537157487417,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
391,False,"{'a': 0.5, 'e': 0.20449605184179023}",30,20,21.91106742316359,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
392,False,"{'a': 0.5, 'e': 0.20107792114596457}",25,8,19.025064416760355,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
393,False,"{'a': 0.5, 'e': 0.19765734037912605}",20,14,13.1389209658816,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.5, 'e': 0.19423435121997187}",20,5,12.534588590491321,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.5, 'e': 0.19080899537654492}",25,17,16.396870717776025,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.5, 'e': 0.18738131458572452}",20,6,11.48603130978595,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
397,False,"{'a': 0.5, 'e': 0.18395135061272003}",25,16,9.481679369722013,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.5, 'e': 0.18051914525055984}",20,12,-6.039621754166,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
399,False,"{'a': 0.5, 'e': 0.17708474031958316}",20,14,10.550107334531479,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.5, 'e': 0.17364817766693041}",30,14,1.9251621671033547,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
401,False,"{'a': 0.5, 'e': 0.17020949916603262}",20,2,17.35286287051375,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
402,False,"{'a': 0.5, 'e': 0.16676874671610212}",25,15,19.354299144290025,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.5, 'e': 0.1633259622416221}",25,16,16.967122380567083,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.5, 'e': 0.1598811876918347}",30,17,16.258182554124062,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
405,False,"{'a': 0.5, 'e': 0.15643446504023092}",20,14,1.3885053543916417,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
406,False,"{'a': 0.5, 'e': 0.1529858362840381}",20,8,-25.58344233559493,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
407,False,"{'a': 0.5, 'e': 0.14953534344370936}",25,20,7.7769676766169535,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.5, 'e': 0.14608302856241143}",25,15,14.002168690341993,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.5, 'e': 0.14262893370551147}",30,22,10.946729697730067,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.5, 'e': 0.13917310096006547}",25,11,-12.287628920663462,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
411,False,"{'a': 0.5, 'e': 0.1357155724343044}",30,17,9.640821000660143,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
412,False,"{'a': 0.5, 'e': 0.13225639025712246}",30,19,20.60046415056484,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
